review_id,booking_id,customer_id,driver_id,review_text,star_rating,review_date,label,trust_score,reason
REV000001,BK000004,CUST00458,DRV0102,"Decent ride but the driver took a longer route than necessary, added to the fare.",4,2025-09-03 11:52:34,Genuine,90.0,Mentions specific details about the route and fare.
REV000002,BK000007,CUST01269,DRV0319,"Excellent service, driver helped with my luggage and was very professional.",5,2025-06-20 23:01:32,Genuine,85.0,Mentions specific detail about driver assistance.
REV000003,BK000010,CUST01122,DRV0040,AC wasn't working properly but driver was courteous. Fare was reasonable for 7.0km.,4,2025-12-06 09:57:15,Genuine,90.0,Mentions specific vehicle issue and distance.
REV000004,BK000012,CUST00034,DRV0190,"Excellent service, driver helped with my luggage and was very professional.",5,2025-04-08 12:05:42,Suspicious,40.0,Exact duplicate of another review.
REV000005,BK000016,CUST01440,DRV0244,"Smooth ride, driver took the flyover route which saved time. Would book again.",4,2025-07-27 15:18:11,Genuine,90.0,Mentions specific route and time saving.
REV000006,BK000017,CUST01661,DRV0115,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,4,2025-08-25 14:32:08,Genuine,85.0,Mentions specific delay and communication.
REV000007,BK000018,CUST00278,DRV0345,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,4,2025-01-19 18:09:18,Suspicious,40.0,Exact duplicate of another review.
REV000008,BK000024,CUST00471,DRV0350,"Good experience overall, vehicle was in good condition. Driver knew the Chennai routes well.",5,2025-06-17 13:23:53,Genuine,90.0,Mentions vehicle condition and driver's local knowledge.
REV000009,BK000026,CUST00520,DRV0246,"Excellent service, driver helped with my luggage and was very professional.",5,2025-02-02 08:23:46,Suspicious,30.0,"Repeated exact duplicate, indicating possible spam."
REV000010,BK000027,CUST01382,DRV0102,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-12-25 01:28:07,Genuine,95.0,Specific neutral feedback with on-time pickup.
REV000011,BK000029,CUST00407,DRV0105,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,3,2025-07-12 11:44:37,Genuine,90.0,Specific details about delay and communication.
REV000012,BK000034,CUST01456,DRV0227,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-11-03 08:33:13,Genuine,90.0,Specific complaint about route and fare.
REV000013,BK000035,CUST00461,DRV0065,AC wasn't working properly but driver was courteous. Fare was reasonable for 2.2km.,4,2025-11-19 13:57:58,Genuine,95.0,"Specific details about AC, driver, and fare."
REV000014,BK000043,CUST01587,DRV0175,"Smooth ride, driver took the flyover route which saved time. Would book again.",4,2025-04-01 08:45:15,Genuine,90.0,Specific details about route and time saved.
REV000015,BK000047,CUST00253,DRV0019,"Excellent service, driver helped with my luggage and was very professional.",4,2025-04-15 08:40:21,Genuine,90.0,Specific details about driver's help and professionalism.
REV000016,BK000049,CUST01449,DRV0087,"Good experience overall, vehicle was in good condition. Driver knew the Pune routes well.",5,2025-08-21 22:28:58,Genuine,90.0,Specific details about vehicle and route knowledge.
REV000017,BK000050,CUST00258,DRV0160,"Good experience overall, vehicle was in good condition. Driver knew the Mumbai routes well.",5,2025-11-20 22:03:21,Suspicious,40.0,"Highly similar to another review, only city changed."
REV000018,BK000058,CUST00078,DRV0110,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-03-20 18:53:16,Suspicious,30.0,Exact duplicate of a previous review.
REV000019,BK000059,CUST01000,DRV0173,"Average ride, nothing special but no complaints either. On time pickup.",4,2025-01-22 06:08:09,Genuine,85.0,"Mentions on-time pickup, balanced neutral feedback."
REV000020,BK000061,CUST01440,DRV0325,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,3,2025-08-21 21:01:58,Suspicious,30.0,Exact duplicate of a previous review.
REV000021,BK000063,CUST01190,DRV0313,"Excellent service, driver helped with my luggage and was very professional.",5,2025-05-04 06:34:47,Genuine,95.0,Specific details about driver behavior.
REV000022,BK000064,CUST01124,DRV0310,"Excellent service, driver helped with my luggage and was very professional.",5,2025-03-24 21:43:19,Suspicious,20.0,Exact duplicate of previous review.
REV000023,BK000068,CUST00033,DRV0328,"Good experience overall, vehicle was in good condition. Driver knew the Bengaluru routes well.",4,2025-01-17 20:47:54,Genuine,90.0,"Specific details on vehicle, driver, and route city."
REV000024,BK000070,CUST00848,DRV0189,"Excellent service, driver helped with my luggage and was very professional.",4,2025-11-14 22:13:20,Suspicious,15.0,Exact duplicate and repetitive language.
REV000025,BK000075,CUST00288,DRV0297,"Good experience overall, vehicle was in good condition. Driver knew the Hyderabad routes well.",5,2025-04-27 14:40:03,Genuine,90.0,"Specific details on vehicle, driver, and route city."
REV000026,BK000076,CUST00018,DRV0324,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-05-22 22:58:58,Genuine,95.0,Specific complaint about route and fare.
REV000027,BK000078,CUST00992,DRV0122,"Good experience overall, vehicle was in good condition. Driver knew the Bengaluru routes well.",4,2025-12-15 22:24:02,Suspicious,20.0,Exact duplicate of previous review.
REV000028,BK000080,CUST01617,DRV0031,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-02-13 02:13:27,Suspicious,20.0,Exact duplicate of previous review.
REV000029,BK000081,CUST00818,DRV0324,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-02-26 17:59:56,Suspicious,15.0,Exact duplicate and repetitive language.
REV000030,BK000082,CUST01354,DRV0167,AC wasn't working properly but driver was courteous. Fare was reasonable for 4.0km.,3,2025-03-21 06:26:12,Genuine,98.0,"Highly specific details about AC, driver, and distance."
REV000031,BK000083,CUST00681,DRV0095,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-08-04 05:42:46,Genuine,90.0,Specific complaint about routing and fare.
REV000032,BK000086,CUST01158,DRV0035,"Smooth ride, driver took the flyover route which saved time. Would book again.",4,2025-12-03 17:31:19,Genuine,95.0,Specific detail about route and time saved.
REV000033,BK000088,CUST00651,DRV0146,AC wasn't working properly but driver was courteous. Fare was reasonable for 7.1km.,4,2025-03-30 17:27:59,Genuine,98.0,"Highly specific details, mixed but balanced feedback."
REV000034,BK000089,CUST01451,DRV0117,"Good experience overall, vehicle was in good condition. Driver knew the Hyderabad routes well.",4,2025-01-27 03:24:03,Genuine,92.0,Specific details about vehicle and driver's route knowledge.
REV000035,BK000092,CUST01782,DRV0327,"Excellent service, driver helped with my luggage and was very professional.",5,2025-10-23 12:36:17,Genuine,90.0,Specific detail: driver assisted with luggage.
REV000036,BK000098,CUST00057,DRV0271,"Average ride, nothing special but no complaints either. On time pickup.",4,2025-10-21 14:21:18,Genuine,88.0,Specific positive detail: on-time pickup.
REV000037,BK000100,CUST00540,DRV0067,"Excellent service, driver helped with my luggage and was very professional.",5,2025-12-16 12:03:35,Suspicious,35.0,Exact duplicate of a previous review.
